species,min.c.12,min.h.1,min.o.16,min.n.14,min.p.31,min.s.32,max.c.12,max.h.1,max.o.16,max.n.14,max.p.31,max.s.32
dag,19,30,4,0,0,0,65,120,6,1,0,0
tag,27,48,5,0,0,0,75,130,7,1,0,0
pa,15,30,7,0,1,0,75,120,8,0,1,0
pg,18,34,9,0,1,0,75,120,10,0,1,0
pi,25,30,12,0,0,0,75,120,13,0,1,0
cl,40,30,16,0,2,0,90,160,17,0,2,0
sm,23,40,5,2,1,0,75,120,7,2,1,0
cer,20,36,3,1,0,0,75,120,4,1,0,0
pc,18,34,7,1,1,0,75,120,8,1,1,0
pe,16,30,7,1,1,0,75,120,8,1,1,0
ps,17,30,9,1,1,0,75,120,10,1,1,0
ffa,10,20,2,0,0,0,65,120,4,0,0,0
gdg,30,30,10,0,0,0,70,160,15,0,0,0
ipc,30,30,10,1,1,0,50,120,14,1,1,0
spc,30,30,7,2,1,0,50,120,10,2,1,0
epc,30,30,6,2,1,0,50,120,8,2,1,0
gpc,30,30,7,1,1,0,50,120,10,1,1,0
cer1p,20,36,6,1,1,0,50,120,8,1,1,0
galcer,30,56,8,1,0,0,50,120,12,1,0,0
slipid,30,30,5,1,0,0,50,100,8,1,0,0
glipid,20,30,4,1,0,0,55,100,7,1,0,0
gslipid,20,30,6,2,0,0,50,120,9,2,0,0
gspa,50,30,12,2,1,0,90,200,16,2,1,0
dpd,60,30,16,2,2,0,100,200,20,2,2,0
dgp,55,30,12,3,1,0,100,175,15,3,1,0
agp,45,30,10,3,1,0,75,175,14,3,1,0
gspg,30,30,10,2,1,0,50,120,15,2,1,0
sulf,30,30,10,1,0,1,60,120,13,1,0,1
gng,40,30,13,1,0,0,110,200,50,6,0,0